Temperature,Date
44.2,20100112 02:00
43.8,20100112 03:00
43.4,20100112 04:00
43.0,20100112 05:00
43.0,20100112 06:00
42.4,20100112 07:00
42.6,20100112 08:00
45.8,20100112 09:00
49.2,20100112 10:00
52.3,20100112 11:00
54.8,20100112 12:00
56.8,20100112 13:00
58.2,20100112 14:00
59.1,20100112 15:00
59.0,20100112 16:00
58.0,20100112 17:00
54.8,20100112 18:00
51.2,20100112 19:00
49.3,20100112 20:00
48.0,20100112 21:00
47.1,20100112 22:00
46.1,20100112 23:00
46.1,20100113 00:00
44.6,20100113 01:00
44.1,20100113 02:00
43.8,20100113 03:00
43.4,20100113 04:00
43.0,20100113 05:00
43.1,20100113 06:00
42.5,20100113 07:00
42.7,20100113 08:00
45.8,20100113 09:00
49.2,20100113 10:00
52.3,20100113 11:00
54.7,20100113 12:00
56.8,20100113 13:00
58.1,20100113 14:00
59.0,20100113 15:00
59.0,20100113 16:00
57.9,20100113 17:00
54.8,20100113 18:00
51.3,20100113 19:00
49.3,20100113 20:00
48.0,20100113 21:00
47.1,20100113 22:00
46.0,20100113 23:00
46.0,20100114 00:00
44.6,20100114 01:00
44.0,20100114 02:00
43.6,20100114 03:00
43.2,20100114 04:00
42.8,20100114 05:00
42.9,20100114 06:00
42.2,20100114 07:00
42.4,20100114 08:00
45.8,20100114 09:00
49.1,20100114 10:00
52.2,20100114 11:00
54.6,20100114 12:00
56.7,20100114 13:00
58.1,20100114 14:00
59.0,20100114 15:00
59.0,20100114 16:00
58.0,20100114 17:00
54.8,20100114 18:00
51.2,20100114 19:00
49.2,20100114 20:00
47.8,20100114 21:00
46.8,20100114 22:00
45.8,20100114 23:00
45.8,20100115 00:00
44.4,20100115 01:00
43.9,20100115 02:00
43.4,20100115 03:00
43.0,20100115 04:00
42.6,20100115 05:00
42.8,20100115 06:00
42.1,20100115 07:00
42.3,20100115 08:00
45.8,20100115 09:00
49.2,20100115 10:00
52.3,20100115 11:00
54.7,20100115 12:00
56.8,20100115 13:00
58.2,20100115 14:00
59.2,20100115 15:00
59.1,20100115 16:00
58.1,20100115 17:00
54.9,20100115 18:00
51.2,20100115 19:00
49.3,20100115 20:00
47.9,20100115 21:00
46.9,20100115 22:00
45.8,20100115 23:00
45.7,20100116 00:00
44.5,20100116 01:00
44.0,20100116 02:00
43.5,20100116 03:00
43.1,20100116 04:00
42.7,20100116 05:00
42.8,20100116 06:00
42.1,20100116 07:00
42.5,20100116 08:00
45.9,20100116 09:00
49.3,20100116 10:00
52.4,20100116 11:00
54.7,20100116 12:00
56.9,20100116 13:00
58.3,20100116 14:00
59.2,20100116 15:00
59.2,20100116 16:00
58.2,20100116 17:00
55.0,20100116 18:00
51.4,20100116 19:00
49.5,20100116 20:00
48.1,20100116 21:00
47.0,20100116 22:00
45.9,20100116 23:00
45.7,20100117 00:00
44.6,20100117 01:00
44.1,20100117 02:00
43.6,20100117 03:00
43.1,20100117 04:00
42.7,20100117 05:00
42.8,20100117 06:00
42.0,20100117 07:00
42.5,20100117 08:00
45.9,20100117 09:00
